zipcode,borough,state,country
10001,MANHATTAN,NY,US
10002,MANHATTAN,NY,US
10003,MANHATTAN,NY,US
10004,MANHATTAN,NY,US
10005,MANHATTAN,NY,US
10006,MANHATTAN,NY,US
10007,MANHATTAN,NY,US
10009,MANHATTAN,NY,US
10010,MANHATTAN,NY,US
10011,MANHATTAN,NY,US
10012,MANHATTAN,NY,US
10013,MANHATTAN,NY,US
10014,MANHATTAN,NY,US
10015,MANHATTAN,NY,US
10016,MANHATTAN,NY,US
10017,MANHATTAN,NY,US
10018,MANHATTAN,NY,US
10019,MANHATTAN,NY,US
10020,MANHATTAN,NY,US
10021,MANHATTAN,NY,US
10022,MANHATTAN,NY,US
10023,MANHATTAN,NY,US
10024,MANHATTAN,NY,US
10025,MANHATTAN,NY,US
10026,MANHATTAN,NY,US
10027,MANHATTAN,NY,US
10028,MANHATTAN,NY,US
10029,MANHATTAN,NY,US
10030,MANHATTAN,NY,US
10031,MANHATTAN,NY,US
10032,MANHATTAN,NY,US
10033,MANHATTAN,NY,US
10034,MANHATTAN,NY,US
10035,MANHATTAN,NY,US
10036,MANHATTAN,NY,US
10037,MANHATTAN,NY,US
10038,MANHATTAN,NY,US
10039,MANHATTAN,NY,US
10040,MANHATTAN,NY,US
10041,MANHATTAN,NY,US
10044,MANHATTAN,NY,US
10045,MANHATTAN,NY,US
10048,MANHATTAN,NY,US
10055,MANHATTAN,NY,US
10060,MANHATTAN,NY,US
10065,MANHATTAN,NY,US
10069,MANHATTAN,NY,US
10075,MANHATTAN,NY,US
10090,MANHATTAN,NY,US
10095,MANHATTAN,NY,US
10098,MANHATTAN,NY,US
10099,MANHATTAN,NY,US
10103,MANHATTAN,NY,US
10104,MANHATTAN,NY,US
10105,MANHATTAN,NY,US
10106,MANHATTAN,NY,US
10107,MANHATTAN,NY,US
10110,MANHATTAN,NY,US
10111,MANHATTAN,NY,US
10112,MANHATTAN,NY,US
10115,MANHATTAN,NY,US
10118,MANHATTAN,NY,US
10119,MANHATTAN,NY,US
10120,MANHATTAN,NY,US
10121,MANHATTAN,NY,US
10122,MANHATTAN,NY,US
10123,MANHATTAN,NY,US
10128,MANHATTAN,NY,US
10151,MANHATTAN,NY,US
10152,MANHATTAN,NY,US
10153,MANHATTAN,NY,US
10154,MANHATTAN,NY,US
10155,MANHATTAN,NY,US
10158,MANHATTAN,NY,US
10161,MANHATTAN,NY,US
10162,MANHATTAN,NY,US
10165,MANHATTAN,NY,US
10166,MANHATTAN,NY,US
10167,MANHATTAN,NY,US
10168,MANHATTAN,NY,US
10169,MANHATTAN,NY,US
10170,MANHATTAN,NY,US
10171,MANHATTAN,NY,US
10172,MANHATTAN,NY,US
10173,MANHATTAN,NY,US
10174,MANHATTAN,NY,US
10175,MANHATTAN,NY,US
10176,MANHATTAN,NY,US
10177,MANHATTAN,NY,US
10178,MANHATTAN,NY,US
10179,MANHATTAN,NY,US
10199,MANHATTAN,NY,US
10270,MANHATTAN,NY,US
10271,MANHATTAN,NY,US
10278,MANHATTAN,NY,US
10279,MANHATTAN,NY,US
10280,MANHATTAN,NY,US
10281,MANHATTAN,NY,US
10282,MANHATTAN,NY,US
10301,STATEN ISLAND,NY,US
10302,STATEN ISLAND,NY,US
10303,STATEN ISLAND,NY,US
10304,STATEN ISLAND,NY,US
10305,STATEN ISLAND,NY,US
10306,STATEN ISLAND,NY,US
10307,STATEN ISLAND,NY,US
10308,STATEN ISLAND,NY,US
10309,STATEN ISLAND,NY,US
10310,STATEN ISLAND,NY,US
10311,STATEN ISLAND,NY,US
10312,STATEN ISLAND,NY,US
10314,STATEN ISLAND,NY,US
10451,BRONX,NY,US
10452,BRONX,NY,US
10453,BRONX,NY,US
10454,BRONX,NY,US
10455,BRONX,NY,US
10456,BRONX,NY,US
10457,BRONX,NY,US
10458,BRONX,NY,US
10459,BRONX,NY,US
10460,BRONX,NY,US
10461,BRONX,NY,US
10462,BRONX,NY,US
10463,BRONX,NY,US
10464,BRONX,NY,US
10465,BRONX,NY,US
10466,BRONX,NY,US
10467,BRONX,NY,US
10468,BRONX,NY,US
10469,BRONX,NY,US
10470,BRONX,NY,US
10471,BRONX,NY,US
10472,BRONX,NY,US
